"Dataset","Sample","Assembly","total_reads","size","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2145","NGS_Ode","SAMD00025523","smaltalign",212250,34517934,2013.09,19.45," 11;17.44",1427324,2117712," 300%"
"V2244","NGS_Ode","SAMD00025523","viralngs",212250,34517934,493.02,16.15," 3;41.62",951268,2553576," 229%"
"V2344","NGS_Ode","SAMD00025523","vpipe",212250,34517934,17205.23,4987.53," 1;37;10",1184892,14743920," 380%"
"V274","NGS_Ode","SAMD00025524","shiver",733690,119380482,7780.62,55.18," 2;05;10",1380228,23260944," 104%"
"V2146","NGS_Ode","SAMD00025524","smaltalign",733690,119380482,2287.24,18.44," 15;07.56",1427048,2144208," 254%"
"V2245","NGS_Ode","SAMD00025524","viralngs",733690,119380482,2649.26,51.67," 9;41.67",1415372,12158096," 464%"
"V2345","NGS_Ode","SAMD00025524","vpipe",733690,119380482,13634.03,1192.46," 1;06;25",1192284,17707848," 371%"
"V275","NGS_Ode","SAMD00025525","shiver",451338,77236099,7247.13,54.69," 1;56;25",1341232,19950600," 104%"
"V2147","NGS_Ode","SAMD00025525","smaltalign",451338,77236099,2076.08,17.54," 12;15.90",1427808,2177280," 284%"
"V2246","NGS_Ode","SAMD00025525","viralngs",451338,77236099,1225.4,31.71," 6;00.65",1334400,6545480," 348%"
"V2346","NGS_Ode","SAMD00025525","vpipe",451338,77236099,9996.1,769.24," 49;00.19",1182800,16049744," 366%"
"V276","NGS_Ode","SAMD00025526","shiver",602638,88825167,2845.95,35.98," 46;26.42",1475832,12111872," 103%"
"V2148","NGS_Ode","SAMD00025526","smaltalign",602638,88825167,1664.62,14.55," 9;41.60",1427484,1972528," 288%"
"V2247","NGS_Ode","SAMD00025526","viralngs",602638,88825167,1366.98,34.51," 9;07.66",1340316,8150032," 255%"
"V2347","NGS_Ode","SAMD00025526","vpipe",602638,88825167,14789.74,1617.72," 1;13;24",1348012,16947632," 372%"
"V277","NGS_Ode","SAMD00025527","shiver",571730,80731137,3674.12,35.25," 59;20.91",1479580,12158080," 104%"
"V2149","NGS_Ode","SAMD00025527","smaltalign",571730,80731137,1596.38,14.7," 9;35.11",1427116,1906672," 280%"
"V2248","NGS_Ode","SAMD00025527","viralngs",571730,80731137,1212.56,31.6," 7;26.80",1381968,7317560," 278%"
"V2348","NGS_Ode","SAMD00025527","vpipe",571730,80731137,14615.5,1755.48," 1;13;10",1347260,16746904," 372%"
"V278","NGS_Ode","SAMD00025528","shiver",247164,41774532,4075.4,34.88," 1;06;05",1351160,10583576," 103%"
"V2150","NGS_Ode","SAMD00025528","smaltalign",247164,41774532,2709.5,21.08," 17;46.26",1427104,2198424," 256%"
"V2249","NGS_Ode","SAMD00025528","viralngs",247164,41774532,526.76,18.84," 2;35.87",820528,3176368," 350%"
"V2349","NGS_Ode","SAMD00025528","vpipe",247164,41774532,18842.38,5170.39," 1;44;43",1193600,15153096," 382%"
"V279","NGS_Ode","SAMD00025529","shiver",488454,78021803,3995.79,37.96," 1;04;28",1344308,13196344," 104%"
"V2151","NGS_Ode","SAMD00025529","smaltalign",488454,78021803,1976.6,15.09," 11;16.12",1427708,2080648," 294%"
"V2250","NGS_Ode","SAMD00025529","viralngs",488454,78021803,971.14,29.27," 6;42.18",1404280,5899400," 248%"
"V2350","NGS_Ode","SAMD00025529","vpipe",488454,78021803,35565.27,11903.29," 3;24;29",1190140,17117056," 386%"
"V280","NGS_Ode","SAMD00025530","shiver",447720,69043901,5537.2,43.33," 1;29;15",1492284,15847624," 104%"
"V2152","NGS_Ode","SAMD00025530","smaltalign",447720,69043901,1937.88,15.34," 12;37.99",1428324,2019880," 257%"
"V2251","NGS_Ode","SAMD00025530","viralngs",447720,69043901,1220.16,30.44," 5;12.91",1174348,6283328," 399%"
"V2351","NGS_Ode","SAMD00025530","vpipe",447720,69043901,9129.45,929.55," 45;57.21",1196232,15660312," 364%"
"V281","NGS_Ode","SAMD00025531","shiver",402752,66549993,6273.85,45.53," 1;40;56",1355180,16154784," 104%"
